102021;Brandweer;Amsterdam-Amstelland;;OvD-Meldkamer Alarmcode
102030;Brandweer;Amsterdam-Amstelland;Diemen;Infocode klein incident
102091;Brandweer;Amsterdam-Amstelland;;Infocode middel Incident
102100;Brandweer;Amsterdam-Amstelland;Ouderkerk a/d Amstel;Blusgroep
102102;Brandweer;Amsterdam-Amstelland;Ouderkerk a/d Amstel;Officier van Dienst
102118;Brandweer;Amsterdam-Amstelland;Ouderkerk a/d Amstel;Postcommandant
102119;Brandweer;Amsterdam-Amstelland;Ouderkerk a/d Amstel;Lichtkrant Kazerne
102200;Brandweer;Amsterdam-Amstelland;Duivendrecht;Blusgroep
102219;Brandweer;Amsterdam-Amstelland;Duivendrecht;Lichtkrant Kazerne
102303;Brandweer;Amsterdam-Amstelland;Uithoorn;Bevelvoerder van Dienst
102304;Brandweer;Amsterdam-Amstelland;Uithoorn;Korpsalarm
102311;Brandweer;Amsterdam-Amstelland;Uithoorn;Tankautospuit-622
102312;Brandweer;Amsterdam-Amstelland;Uithoorn;Hulpverleningsvoertuig-682 
102315;Brandweer;Amsterdam-Amstelland;Uithoorn;Tankautospuit-621
102319;Brandweer;Amsterdam-Amstelland;Uithoorn;Lichtkrant Kazerne
102653;Brandweer;Amsterdam-Amstelland;;Hoofd Sectie Brandweer Operationeel Team
102661;Brandweer;Amsterdam-Amstelland;;Coördinator Copi
102662;Brandweer;Amsterdam-Amstelland;;Milieudienst Amsterdam
102998;Brandweer;Amsterdam-Amstelland;;Monitorcode
103000;Brandweer;Zaanstreek-Waterland;RBZW;Regionaal Proefalarm RBZW
103003;Brandweer;Zaanstreek-Waterland;Krommenie;Decontaminatieploeg
103004;Brandweer;Zaanstreek-Waterland;Oosthuizen;Ontsmettingsploeg
103005;Brandweer;Zaanstreek-Waterland;Den Ilp;Ontsmettingsploeg
103006;Brandweer;Zaanstreek-Waterland;Purmerend;Ontsmettingsploeg
103007;Brandweer;Zaanstreek-Waterland;Krommenie;Ontsmettingsploeg
103008;Brandweer;Zaanstreek-Waterland;Zaandijk;Ontsmettingsploeg
103009;Brandweer;Zaanstreek-Waterland;RBZW;LMPO
103010;Brandweer;Zaanstreek-Waterland;RBZW;LFO (Landelijke Faciliteit ondersteuning bij Ontmantelen)
103011;Brandweer;Zaanstreek-Waterland;RBZW;ROGS RBZW
103012;Brandweer;Zaanstreek-Waterland;Assendelft;OGS
103013;Brandweer;Zaanstreek-Waterland;Wormerveer;OGS ploeg
103014;Brandweer;Zaanstreek-Waterland;Zaandam;OGS ploeg
103015;Brandweer;Zaanstreek-Waterland;Landsmeer;WVD ploeg 57W001
103016;Brandweer;Zaanstreek-Waterland;Edam;WVD ploeg 57W002
103017;Brandweer;Zaanstreek-Waterland;Purmerend;WVD ploeg 57W003
103018;Brandweer;Zaanstreek-Waterland;Krommenie;WVD ploeg 58W004
103019;Brandweer;Zaanstreek-Waterland;Oostzaan;WVD ploeg 58W005
103020;Brandweer;Zaanstreek-Waterland;Zaandam;WVD ploeg 58W006
103021;Brandweer;Zaanstreek-Waterland;Zaanstad;Duikers dagdienst
103022;Brandweer;Zaanstreek-Waterland;Assendelft;Duikers
103023;Brandweer;Zaanstreek-Waterland;Wormerveer;Duikers
103024;Brandweer;Zaanstreek-Waterland;Zaandam;Duikers
103025;Brandweer;Zaanstreek-Waterland;RBZW;Duikadviseur RBZW
103026;Brandweer;Zaanstreek-Waterland;Wormer;Verbindingsgroep
103028;Brandweer;Zaanstreek-Waterland;RBZW;Plotters RBZW
103029;Brandweer;Zaanstreek-Waterland;RBZW;Piketofficier alarmcentrale RBZW
103031;Brandweer;Zaanstreek-Waterland;Krommenie;Haakarmchauffeur
103032;Brandweer;Zaanstreek-Waterland;Zaandam;Haakarmchauffeur Houtveldweg
103033;Brandweer;Zaanstreek-Waterland;Zaandam;Haakarmchauffeur Botenmakersstraat
103034;Brandweer;Zaanstreek-Waterland;Wormer;Haakarmchauffeur
103035;Brandweer;Zaanstreek-Waterland;Oosthuizen;Haakarmchauffeur
103036;Brandweer;Zaanstreek-Waterland;Volendam;Haakarmchauffeur
103037;Brandweer;Zaanstreek-Waterland;Purmerend;Haakarmchauffeur
103039;Brandweer;Zaanstreek-Waterland;Zaandam;HV ploeg Zaandam
103040;Brandweer;Zaanstreek-Waterland;Wormerveer;HV ploeg
103041;Brandweer;Zaanstreek-Waterland;Assendelft;HV ploeg
103042;Brandweer;Zaanstreek-Waterland;Edam;HV ploeg
103044;Brandweer;Zaanstreek-Waterland;Zaandam;Hoogwerkerploeg Botenmakersstraat
103045;Brandweer;Zaanstreek-Waterland;Purmerend;Hoogwerkerploeg
103046;Brandweer;Zaanstreek-Waterland;Wormerveer;Autoladderploeg
103051;Brandweer;Zaanstreek-Waterland;Koog aan de Zaan;Onderhoud/Verzorgingsgroep
103053;Brandweer;Zaanstreek-Waterland;RBZW;Logistiek functionaris RBZW
103055;Brandweer;Zaanstreek-Waterland;RBZW;Regionaal Commandant RBZW
103056;Brandweer;Zaanstreek-Waterland;RBZW;Plv Regionaal Commandant RBZW
103057;Brandweer;Zaanstreek-Waterland;RBZW;Commandant van Dienst
103058;Brandweer;Zaanstreek-Waterland;RBZW;Officier van Dienst West 1 RBZW
103059;Brandweer;Zaanstreek-Waterland;RBZW;Officier van Dienst West 2 RBZW
103060;Brandweer;Zaanstreek-Waterland;RBZW;Officier van Dienst Noord RBZW
103061;Brandweer;Zaanstreek-Waterland;RBZW;Officier van Dienst Zuid RBZW
103062;Brandweer;Zaanstreek-Waterland;RBZW;Hoofdofficier van Dienst RBZW
103063;Brandweer;Zaanstreek-Waterland;Krommenie;Ventilatorploeg
103064;Brandweer;Zaanstreek-Waterland;Zaandijk;Ventilatorploeg
103065;Brandweer;Zaanstreek-Waterland;RBZW;Compagniescommandant Zaanstreek RBZW
103066;Brandweer;Zaanstreek-Waterland;RBZW;Pelotonscommandant 100 RBZW
103067;Brandweer;Zaanstreek-Waterland;RBZW;Pelotonscommandant 200 RBZW
103068;Brandweer;Zaanstreek-Waterland;RBZW;Commandant Uitgangsstelling RBZW
103070;Brandweer;Zaanstreek-Waterland;;MDT 0290 - OvD West
103071;Brandweer;Zaanstreek-Waterland;RBZW;Compagniescommandant Waterland RBZW
103072;Brandweer;Zaanstreek-Waterland;RBZW;Pelotonscommandant 100 RBZW
103073;Brandweer;Zaanstreek-Waterland;RBZW;Pelotonscommandant 200 RBZW
103074;Brandweer;Zaanstreek-Waterland;RBZW;Commandant Uitgangsstelling RBZW
103100;Brandweer;Zaanstreek-Waterland;Oosthuizen;Blusploeg
103105;Brandweer;Zaanstreek-Waterland;Oosthuizen;Lichtkrant
103107;Brandweer;Zaanstreek-Waterland;Kwadijk;Blusploeg
103112;Brandweer;Zaanstreek-Waterland;Kwadijk;Lichtkrant
103114;Brandweer;Zaanstreek-Waterland;Zeevang;Commandant
103115;Brandweer;Zaanstreek-Waterland;Zeevang;Plv.Commandant
103165;Brandweer;Zaanstreek-Waterland;Middenbeemster;Blusploeg
103166;Brandweer;Zaanstreek-Waterland;Beemster;Lichtkrant
103169;Brandweer;Zaanstreek-Waterland;Zuidoostbeemster;Blusploeg
103174;Brandweer;Zaanstreek-Waterland;Beemster;Commandant
103175;Brandweer;Zaanstreek-Waterland;Beemster;Plv commandant
103230;Brandweer;Zaanstreek-Waterland;Edam;Blusploeg
103231;Brandweer;Zaanstreek-Waterland;Edam;Lichtkrant
103237;Brandweer;Zaanstreek-Waterland;Edam;Postcommandant
103239;Brandweer;Zaanstreek-Waterland;Volendam;Blusploeg
103240;Brandweer;Zaanstreek-Waterland;Volendam;Lichtkrant
103246;Brandweer;Zaanstreek-Waterland;Volendam;Postcommandant
103248;Brandweer;Zaanstreek-Waterland;Edam-Volendam;Bevelvoerder van dienst
103249;Brandweer;Zaanstreek-Waterland;Edam-Volendam;Commandant
103250;Brandweer;Zaanstreek-Waterland;Edam-Volendam;Plv. Commandant
103330;Brandweer;Zaanstreek-Waterland;Monnickendam;Blusploeg 1
103331;Brandweer;Zaanstreek-Waterland;Monnickendam;Blusploeg 2
103332;Brandweer;Zaanstreek-Waterland;Monnickendam;Bevelvoerder van dienst
103333;Brandweer;Zaanstreek-Waterland;Monnickendam;Lichtkrant
103336;Brandweer;Zaanstreek-Waterland;Monnickendam;Postcommandant
103338;Brandweer;Zaanstreek-Waterland;Marken;Blusploeg 1
103339;Brandweer;Zaanstreek-Waterland;Marken;Blusploeg 2
103340;Brandweer;Zaanstreek-Waterland;Marken;Bevelvoerder van Dienst
103341;Brandweer;Zaanstreek-Waterland;Marken;Lichtkrant
103344;Brandweer;Zaanstreek-Waterland;Marken;Postcommandant
103346;Brandweer;Zaanstreek-Waterland;Broek in Waterland;Blusploeg 1
103347;Brandweer;Zaanstreek-Waterland;Broek in Waterland;Blusploeg 2
103348;Brandweer;Zaanstreek-Waterland;Broek in Waterland;Bevelvoerder van dienst
103349;Brandweer;Zaanstreek-Waterland;Broek in Waterland;Lichtkrant
103352;Brandweer;Zaanstreek-Waterland;Broek in Waterland;Postcommandant
103354;Brandweer;Zaanstreek-Waterland;Ilpendam;Blusploeg 1
103355;Brandweer;Zaanstreek-Waterland;Ilpendam;Blusploeg 2
103356;Brandweer;Zaanstreek-Waterland;Ilpendam;Bevelvoerder van Dienst
103357;Brandweer;Zaanstreek-Waterland;Ilpendam;Lichtkrant
103360;Brandweer;Zaanstreek-Waterland;Ilpendam;Postcommandant
103362;Brandweer;Zaanstreek-Waterland;Waterland;Commandant
103363;Brandweer;Zaanstreek-Waterland;Waterland;Plv. Commandant
103366;Brandweer;Zaanstreek-Waterland;Marken;Reddingsboot Marken
103470;Brandweer;Zaanstreek-Waterland;Landsmeer;Blusploeg 1
103471;Brandweer;Zaanstreek-Waterland;Landsmeer;Blusploeg 2
103473;Brandweer;Zaanstreek-Waterland;Landsmeer;Techniek
103476;Brandweer;Zaanstreek-Waterland;Den Ilp;Blusploeg 1
103477;Brandweer;Zaanstreek-Waterland;Den Ilp;Blusploeg 2
103482;Brandweer;Zaanstreek-Waterland;Landsmeer;Commandant
103483;Brandweer;Zaanstreek-Waterland;Landsmeer;Plv Commandant
103540;Brandweer;Zaanstreek-Waterland;Purmerend;Duikploeg 1
103541;Brandweer;Zaanstreek-Waterland;Purmerend;Duikploeg 2
103542;Brandweer;Zaanstreek-Waterland;Purmerend;Duikploeg 3
103543;Brandweer;Zaanstreek-Waterland;Purmerend;Duikploeg 4
103544;Brandweer;Zaanstreek-Waterland;Purmerend;Kazernealarm duiken
103546;Brandweer;Zaanstreek-Waterland;Purmerend;Blusploeg 1a
103547;Brandweer;Zaanstreek-Waterland;Purmerend;Bevelvoerder 1a
103548;Brandweer;Zaanstreek-Waterland;Purmerend;Blusploeg 1b
103549;Brandweer;Zaanstreek-Waterland;Purmerend;Bevelvoerder 1b
103550;Brandweer;Zaanstreek-Waterland;Purmerend;Blusploeg 2a
103551;Brandweer;Zaanstreek-Waterland;Purmerend;Bevelvoerder 2a
103552;Brandweer;Zaanstreek-Waterland;Purmerend;Blusploeg 2b
103553;Brandweer;Zaanstreek-Waterland;Purmerend;Bevelvoerder 2b
103554;Brandweer;Zaanstreek-Waterland;Purmerend;Blusploeg 3a
103555;Brandweer;Zaanstreek-Waterland;Purmerend;Bevelvoerder 3a
103556;Brandweer;Zaanstreek-Waterland;Purmerend;Blusploeg 3b
103557;Brandweer;Zaanstreek-Waterland;Purmerend;Bevelvoerder 3b
103558;Brandweer;Zaanstreek-Waterland;Purmerend;Blusploeg 4a
103559;Brandweer;Zaanstreek-Waterland;Purmerend;Bevelvoerder 4a
103560;Brandweer;Zaanstreek-Waterland;Purmerend;Blusploeg 4b
103561;Brandweer;Zaanstreek-Waterland;Purmerend;Bevelvoerder 4b
103563;Brandweer;Zaanstreek-Waterland;Purmerend;Kazernealarm brand
103565;Brandweer;Zaanstreek-Waterland;Purmerend;Monitorcode
103566;Brandweer;Zaanstreek-Waterland;Purmerend;Lichtkrant
103568;Brandweer;Zaanstreek-Waterland;Purmerend;Commandant
103569;Brandweer;Zaanstreek-Waterland;Purmerend;Plv. Commandant
103570;Brandweer;Amsterdam-Amstelland;Purmerend;Burgemeester Purmerend
103572;Brandweer;Zaanstreek-Waterland;Purmerend;Technische dienst
103573;Brandweer;Zaanstreek-Waterland;Purmerend;Technische dienst
103574;Brandweer;Zaanstreek-Waterland;Purmerend;Preventie
103575;Brandweer;Zaanstreek-Waterland;Purmerend;Preventie
103576;Brandweer;Zaanstreek-Waterland;Purmerend;Perslucht
103577;Brandweer;Zaanstreek-Waterland;Purmerend;Perslucht
103578;Brandweer;Zaanstreek-Waterland;Purmerend;Perslucht
103579;Brandweer;Zaanstreek-Waterland;Purmerend;Perslucht
103680;Brandweer;Zaanstreek-Waterland;Assendelft;Blusploeg
103684;Brandweer;Zaanstreek-Waterland;Assendelft;Kazernecommandant
103740;Brandweer;Zaanstreek-Waterland;Koog aan de Zaan;Blusploeg
103744;Brandweer;Zaanstreek-Waterland;Koog aan de Zaan;Kazernecommandant
103790;Brandweer;Zaanstreek-Waterland;Krommenie;Blusploeg
103795;Brandweer;Zaanstreek-Waterland;Krommeniedijk;Blusploeg
